: 1508199806:0;python -v
: 1548728984:0;git push
: 1548732492:0;yarn start
: 1548737574:0;git add .
: 1548737632:0;git commit -m "componentDidMount changed. PureComponent added for shouldComponentUpdate""
: 1548737634:0;git commit -m "componentDidMount changed. PureComponent added for shouldComponentUpdate"
: 1548737642:0;git push
: 1548740116:0;yarn start
: 1548809881:0;git add .
: 1548809904:0;git commit -m "modal css changed"
: 1548809910:0;git push
: 1548809944:0;yarn start
: 1548810150:0;git add .
: 1548810169:0;git commit -m "mapcontainer stopped working. needs to be fixed"
: 1548810174:0;git push
: 1548810302:0;yarn remove eslint eslint-config-airbnb eslint-config-prettier eslint-plugin-flowtype eslint-plugin-import eslint-plugin-jsx-a11y eslint-plugin-prettier eslint-plugin-react prettier
: 1548810312:0;git add .
: 1548810372:0;git commit -m "devDependencies e.g, eslint and plugins removed for heroku. Will add back in""
: 1548810375:0;git commit -m "devDependencies e.g, eslint and plugins removed for heroku. Will add back in"
: 1548810383:0;heroku login
: 1548810402:0;git push heroku master
: 1548810506:0;heroku open
: 1548810789:0;cd Desktop/finalProj_redone
: 1548810793:0;sublime .
: 1548810842:0;yarn start
: 1548812346:0;npm run start
: 1548812394:0;yarn start
: 1548812777:0;git add .
: 1548812839:0;git commit -m "env added in heroku"
: 1548812849:0;git push heroku master
: 1548812937:0;heroku open
: 1548813000:0;git add .
: 1548813006:0;git commit -m "env added in heroku"
: 1548813011:0;git push heroku master
: 1548813099:0;heroku open
: 1548813243:0;git log
: 1548813321:0;git checkout 7969671
: 1548813347:0;yarn start
: 1548813371:0;git add .
: 1548813401:0;git commit -m "env vars need to change for heroku"
: 1548813413:0;git push origin master
: 1548813498:0;git checkout master
: 1548813592:0;git log
: 1548813619:0;git revert 7969671
: 1548813679:0;git reset HEAD~1
: 1548813691:0;git add .
: 1548813699:0;git commit -m "reverted"
: 1548813710:0;git checkout
: 1548813714:0;git push
: 1548813774:0;git logs
: 1548813776:0;git log
: 1548813798:0;git reset hard 7969671
: 1548813806:0;git reset --hard 7969671
: 1548813817:0;git pull
: 1548813844:0;git reset --hard 7969671
: 1548813848:0;git add .
: 1548813851:0;git commit
: 1548813876:0;git log
: 1548814008:0;git pull --rebase
: 1548814117:0;yarn start
: 1548814209:0;git add .
: 1548814232:0;git commit -m "reverted back from heroku build"
: 1548814235:0;git push
: 1548908381:0;yarn add react-google-maps
: 1548908716:0;yarn add recompose
: 1548908939:0;yarn start
: 1548909621:0;git add .
: 1548909650:0;git commit -m "map library changed. will probably stick with this one. css needs done."
: 1548909654:0;git push
: 1548909664:0;yarn start
: 1548909857:0;git add .
: 1548909886:0;git commit -m "map css done."
: 1548909889:0;git push
: 1548909914:0;yarn start
: 1548911383:0;git add .
: 1548911404:0;git commit -m "map improved. marker click working."
: 1548911408:0;git push
: 1548911762:0;yarn start
: 1548912097:0;git add .
: 1548912112:0;git commit -m "file links changed"
: 1548912126:0;git push
: 1548912136:0;git pull
: 1548912157:0;git merge .
: 1548912162:0;git add .
: 1548912169:0;git commit -m "file links changed"
: 1548912172:0;git push
: 1548958085:0;yarn start
: 1548964941:0;yarn add .
: 1548964960:0;git add .
: 1548965019:0;git commit -m "map markers working. need setBounds and dynamic zoom""
: 1548965021:0;git commit -m "map markers working. need setBounds and dynamic zoom"
: 1548965026:0;git push
: 1549071688:0;yarn start
: 1549079083:0;kill -9 <3555>>
: 1549079087:0;kill -9 <3555>
: 1549079118:0;netstat -ano | grep ":3000"
: 1549388827:0;sudo rm -rf /Applications/Xcode.app/Contents/Developer/Toolchains/Swift_2.3.xctoolchain
: 1549388861:0;rm -rf ~/Library/Developer/Xcode/iOS\ DeviceSupport/
: 1549388874:0;rm -rf ~/Library/Developer/CoreSimulator/Devices/*
: 1549388895:0;cd ~/Library/Developer/CoreSimulator/Devices/*
: 1549388903:0;cd ~/Library/Developer/CoreSimulator/Devices
: 1549388906:0;ls
: 1549388925:0;cd ..
: 1549388928:0;cd ~
: 1549388943:0;cd ~/Library/Developer/CoreSimulator/Devices
: 1549388958:0;vim device_set.plist
: 1549388990:0;rm -rf ~/Library/Developer/CoreSimulator/Devices/*
: 1549389005:0;ls
: 1549389012:0;cd ~
: 1549389681:0;yarn remove google-map-react
: 1549390473:0;brew tap cjbassi/gotop\

: 1549390630:0;brew install gotop
: 1549390666:0;gotop
: 1549412256:0;cd Desktop/Personal-HTML
: 1549412264:0;code .
: 1549415878:0;cd Desktop/Personal-HTML
: 1549415884:0;git remote
: 1549415891:0;git remote help
: 1549415938:0;git remote -v
: 1549416339:0;git add .
: 1549416353:0;git commit -m "personal updated"
: 1549416358:0;git push
: 1549416628:0;git add .
: 1549416631:0;git commit -m "personal updated"
: 1549416632:0;git push
: 1549421048:0;rvm update
: 1549421068:0;rails --version
: 1549421098:0;node --version
: 1549421104:0;node update
: 1549494787:0;create-react-app people-around
: 1549494796:0;ls
: 1549494804:0;rm -rf people-around
: 1549494806:0;ls
: 1549494819:0;vim TEST
: 1549494846:0;rm -rf TEST test!
: 1549494848:0;ls
: 1549494856:0;vim package-lock.json
: 1549494888:0;cd Development
: 1549494892:0;ls
: 1549494953:0;create-react-app people-around
: 1549495008:0;code people-around
: 1549495075:0;yarn add the-platform
: 1549496109:0;yarn start
: 1549496136:0;process.env
: 1549496147:0;node process.env
: 1549496342:0;yarn add firebase
: 1549496400:0;yarn add -D eslint@5.6.0 eslint-config-airbnb eslint-plugin-import eslint-plugin-jsx-a11y eslint-plugin-react
: 1549496455:0;eslint --init
: 1549496592:0;yarn add -D eslint-plugin-prettier
: 1549496608:0;yarn add firebase
: 1549496701:0;yarn start
: 1549496799:0;git add .
: 1549496836:0;git commit -m "setup done"
: 1549496855:0;git push
: 1549496895:0;echo "# people-around" >> README.md
: 1549496905:0;git init
: 1549496924:0;git add .
: 1549496930:0;git commit -m "setup done"
: 1549496952:0;git remote add origin git@github.com:deanban/people-around.git
: 1549496958:0;git push
: 1549497090:0;git add .
: 1549497099:0;git commit -m "updated readme"
: 1549497105:0;git push
: 1549499910:0;git add .
: 1549499926:0;git commit -m "firebase setup done"
: 1549499932:0;git push
: 1549500085:0;yarn start
: 1549500091:0;yarn install
: 1549500146:0;yarn start
: 1549500195:0;yarn add -D eslint-config-prettier/react
: 1549500201:0;yarn add -D eslint-config-prettier
: 1549500230:0;yarn add @firebase/app-types
: 1549500297:0;git add .
: 1549500378:0;git commit -m "peer dependency met. Changed a few lines for eslint to stfu."
: 1549500381:0;git push
: 1549500451:0;yarn start
: 1549507276:0;git add .
: 1549507287:0;git commit -m "resume added"
: 1549507293:0;git push
: 1549507805:0;git add .
: 1549507812:0;git commit -m "resume updated"
: 1549507816:0;git push
: 1549508163:0;git add .
: 1549508166:0;git commit -m "resume updated"
: 1549508168:0;git push
: 1549508943:0;yarn start
: 1549509355:0;git log
: 1549509392:0;yarn start
: 1549509812:0;git add .
: 1549509850:0;git commit -m "marker windows working. Need to work on rendering individual windows.
: 1549509852:0;git commit -m "marker windows working. Need to work on rendering individual windows."
: 1549509859:0;heroku login
: 1549509912:0;git push heroku master
: 1549510059:0;heroku open
: 1549510149:0;yarn start
: 1549510426:0;git add .
: 1549510438:0;git commit -m "console logs removed"
: 1549510442:0;git push heroku master
: 1549516648:0;git push
: 1549516672:0;git pull
: 1549516729:0;git push
: 1549516746:0;git pull
: 1549516756:0;git merge
: 1549516788:0;git commit -m "update readme"
: 1549516797:0;git push
: 1550020340:0;yarn start
: 1550021378:0;ffmpeg -i ~/Desktop/near_by1.mov ~/Desktop/nearBy.mp4
: 1550021706:0;ffmpeg -i ~/Desktop/near_by2.mov ~/Desktop/Personal-HTML/images/portfolio/modals/NearBy.mp4
: 1550021819:0;ffmpeg -i ~/Desktop/near_by.mov ~/Desktop/Personal-HTML/images/portfolio/modals/NearBy.mp4
: 1550021991:0;ffmpeg -i ~/Desktop/devnet.mov ~/Desktop/Personal-HTML/images/portfolio/modals/DevNet.mp4
: 1550022360:0;cd Desktop/venue
: 1550022369:0;code .
: 1550022396:0;yarn start
: 1550023100:0;cd ..
: 1550023148:0;ffmpeg -i ~/Desktop/the_venue.mov ~/Desktop/Personal-HTML/images/portfolio/modals/the_venue.mp4
: 1550023569:0;cd Development/microservices
: 1550023574:0;code /
: 1550023581:0;code .
: 1550023588:0;yarn start
: 1550023601:0;nodemon server.js
: 1550023656:0;yarn dev
: 1550023932:0;cd ..
: 1550024003:0;ffmpeg -i ~/Desktop/microservices.mov ~/Desktop/Personal-HTML/images/portfolio/modals/microservices.mp4
: 1550104148:0;cd Desktop/hooks
: 1550104172:0;create-react-app hooks
: 1550104200:0;cd hooks
: 1550104203:0;code .
: 1550104300:0;yarn start
: 1550105938:0;echo "# hooks" >> README.md
: 1550105947:0;git add .
: 1550105962:0;git commit -m "hooks practice"
: 1550105971:0;git remote add origin git@github.com:deanban/hooks.git
: 1550105979:0;git push
: 1550106363:0;yarn start
: 1550107779:0;git add .
: 1550107794:0;git commit -m "useeffect"
: 1550107798:0;git push
: 1550108450:0;yarn start
: 1550111026:0;git add .
: 1550111036:0;git commit -m "custom hooks"
: 1550111039:0;git push
: 1550112162:0;yarn start
: 1550124629:0;git add .
: 1550124663:0;git commit -m "useReducer, useRef"
: 1550124668:0;git push
: 1550522260:0;git add .
: 1550522278:0;git commit -m "portfolio updated"
: 1550522282:0;git push
: 1550775916:0;git add .
: 1550775922:0;git commit -m "portfolio updated"
: 1550775926:0;git push
: 1550775993:0;git add .
: 1550775997:0;git commit -m "portfolio updated"
: 1550776003:0;git push
: 1550783487:0;git add .
: 1550783507:0;git commit -m "console logs removed"
: 1550783511:0;git push
: 1551670958:0;cd Applications/
: 1551670959:0;ls
: 1551670965:0;ls a
: 1551670968:0;ls -a
: 1551670973:0;cd ..
: 1551670976:0;ls
: 1551670984:0;cd..
: 1551670988:0;cd ..
: 1551670990:0;ls
: 1551670993:0;cd dean
: 1551670995:0;ls
: 1551670999:0;cd Applications
: 1551671000:0;ls
: 1551671003:0;cd Chrome\ Apps.localized
: 1551671005:0;ls
: 1551671009:0;cd ..
: 1551671070:0;ls
: 1551671074:0;cd Applications
: 1551671079:0;cd MAMP
: 1551671085:0;cd htdocs
: 1551671095:0;cd testsite2
: 1551671654:0;echo "# wp-bhbcucusa" >> README.md\
git init\
git add README.md\
git commit -m "first commit"\
git remote add origin git@github.com:deanban/wp-bhbcucusa.git\
git push -u origin master
: 1551671684:0;git add .
: 1551671740:0;git commit -m "wpsite almost done"
: 1551671750:0;git push
: 1551906465:0;sequelize --version
: 1551922279:0;cd Development
: 1551922293:0;yarn init
: 1551922322:0;ls
: 1551922337:0;ls -a
: 1551922359:0;cd node
: 1551922361:0;ls
: 1551922366:0;cd ..
: 1551922368:0;ls
: 1551922400:0;rm -rf package.json
: 1551922409:0;mkdir dragon
: 1551922413:0;cd dragon
: 1551922417:0;yarn init
: 1551922443:0;code .
: 1551922760:0;git add .
: 1551922765:0;git init
: 1551922769:0;git add .
: 1551922783:0;git commit -m "first commit"
: 1551922815:0;git remote add origin git@github.com:deanban/dragon.git
: 1551922820:0;git remote -v
: 1551922825:0;git push
: 1551922835:0;git pull
: 1551922861:0;git branch --set-upstream-to=origin/<branch> master
: 1551922867:0;git branch --set-upstream-to=origin/master
: 1551922875:0;git pull
: 1551922885:0;git merge
: 1551922890:0;git push
: 1551922900:0;git pull origin master
: 1551922992:0;git pull origin master --allow-unrelated-histories
: 1551923021:0;git push
: 1551923307:0;node server.js
: 1551925077:0;yarn add -D nodemon
: 1551925167:0;yarn dev
: 1551925419:0;git add .
: 1551925428:0;git commit -m "setup done"
: 1551925430:0;git push
: 1551925618:0;yarn dev
: 1551927102:0;git add .
: 1551927120:0;git commit -m "traits added"
: 1551927136:0;git push
: 1551927160:0;yarn dev
: 1551929650:0;git add .
: 1551929665:0;git commit -m "generation engine added"
: 1551929668:0;git push
: 1551929781:0;yarn add express
: 1551929788:0;yarn dev
: 1551930366:0;git add .
: 1551930393:0;git commit -m "new dragon skeleton api done"
: 1551930401:0;git push
: 1551930728:0;yarn dev
: 1551931012:0;git add .
: 1551931024:0;git commit -m "files organized"
: 1551931027:0;git push
: 1551931450:0;yarn dev
: 1551932400:0;git add .
: 1551932434:0;git commit -m "current generation api skeleton added"
: 1551932437:0;git push
: 1551978083:0;psql -U dean
: 1551978105:0;psql -U postgres
: 1551978170:0;createdb -U dean dragondb
: 1551978187:0;psql -U dean dragondb
: 1551979963:0;yarn configure
: 1551979982:0;ls -l
: 1551979995:0;ls -l bin
: 1551980017:0;chmod +x bin/configure_db.sh
: 1551980024:0;yarn configure
: 1551980256:0;git add .
: 1551980286:0;git commit -m "database created. Added bash script"
: 1551980291:0;git push
: 1551980381:0;psql -U dean dragondb
: 1551980616:0;yarn add pg
: 1551981601:0;yarn add dotenv
: 1551981818:0;process.env
: 1551981825:0;node
: 1551982024:0;node pgPool.js
: 1551982031:0;node process.env
: 1551982035:0;node
: 1551982201:0;node pgPool.js
: 1551982501:0;./node_modules/nodemon/bin/nodemon.js pgPool.js
: 1551983391:0;yarn configure && yarn dev
: 1551983425:0;psql -U node_user dragondb
: 1551983534:0;yarn confdev
: 1551984613:0;git add .
: 1551984670:0;git commit -m "getting genId back from postgres, updated engine and model"
: 1551984673:0;git push
: 1551984726:0;yarn confdev
: 1551986318:0;git add .
: 1551986361:0;git commit -m "dragon table done. returning dragonD"
: 1551986364:0;git push
: 1552069610:0;eslint --init
: 1552070126:0;yarn remove eslint eslint-config-standard eslint-plugin-import eslint-plugin-node eslint-plugin-promise eslint-plugin-standard
: 1552070210:0;yarn 
: 1552070241:0;eslint --init
: 1552070504:0;yarn add eslint@5.6.0 babel-eslint
: 1552070522:0;yarn remove eslint babel-eslint
: 1552070533:0;yarn add -D eslint@5.6.0 babel-eslint
: 1552070732:0;git add .
: 1552070744:0;git commit -m "eslint added"
: 1552070750:0;git push
: 1552070851:0;git add .
: 1552070866:0;git commit -m "fixed eslint problems"
: 1552070869:0;git push
: 1552071498:0;git add .
: 1552071525:0;git commit -m " adding express error-handling"
: 1552071854:0;yarn dev
: 1552073202:0;yarn confdev
: 1552073293:0;psql -U node_user dragondb
: 1552073470:0;git add .
: 1552073496:0;git commit -m "trait table created. automated adding of traits"
: 1552073502:0;git push
: 1552074117:0;node app/trait/table.js
: 1552074413:0;yarn confdev
: 1552076730:0;psql -U node_user dragondb
: 1552077026:0;yarn confdev
: 1552077094:0;node app/trait/table.js
: 1552077141:0;node app/dragon/table.js
: 1552077153:0;yarn dev
: 1552077522:0;yarn confdev
: 1552077742:0;psql -U node_user dragondb
: 1552078189:0;clear
: 1552078194:0;psql -U node_user dragondb
: 1552078390:0;git add .
: 1552078442:0;git commit -m "dragonTrait table working. Traits are being assaigned to dragons"
: 1552078457:0;git push
: 1552079184:0;node app/dragon/table.js
: 1552080170:0;node app/dragon/helper.js
: 1552080210:0;yarn dev
: 1552080248:0;git add .
: 1552080297:0;git commit -m "getting dragon with traits with dragon class helper. Skeleton Dragon Backend Done."
: 1552080301:0;git push
: 1552093203:0;cd client
: 1552093560:0;cd ..
: 1552093570:0;cd Development/dragon
: 1552093589:0;create-react-app client
: 1552093620:0;cd client
: 1552093655:0;eslint --init
: 1552093758:0;yarn add -D eslint@5.6.0 eslint-config-airbnb eslint-plugin-import eslint-plugin-jsx-a11y eslint-plugin-react 
: 1552094276:0;cd Development/dragon
: 1552094280:0;cd ..
: 1552094290:0;code Development/dragon
: 1552094449:0;yarn add concurrently 
: 1552094522:0;yarn both
: 1552094579:0;cd client
: 1552094587:0;yarn remove eslint
: 1552094640:0;yarn
: 1552094737:0;yarn both
: 1552094793:0;yarn
: 1552094835:0;yarn both
: 1552094908:0;yarn remove eslint babel-eslint
: 1552094932:0;yarn
: 1552094990:0;yarn remove eslint babel-eslint
: 1552095026:0;yarn add -D eslint@5.12.0 babel-eslint@9.0.0
: 1552095044:0;yarn both
: 1552095182:0;yarn
: 1552095252:0;yarn both
: 1552095432:0;yarn confdev
: 1552095938:0;yarn start
: 1552096132:0;yarn both
: 1552096736:0;yarn add cors
: 1552096855:0;yarn both
: 1552098654:0;git add .
: 1552098676:0;git commit -m "react setup done. displaying dragon and generation"
: 1552098691:0;yarn both
: 1552099605:0;yarn add react-bootstrap
: 1552099749:0;yarn both
: 1552100445:0;git add .
: 1552100473:0;git commit -m "new dragon button works. main css added"
: 1552100801:0;yarn both
: 1552102574:0;git add .
: 1552102599:0;git commit -m "dragon avatar and css added"
: 1552102622:0;git push
: 1552102662:0;yarn both
: 1552334134:0;yarn add redux react-redux redux-thunk
: 1552334168:0;yarn remove redux react-redux redux-thunk
: 1552334181:0;cd client
: 1552334207:0;yarn add redux react-redux redux-thunk
: 1552334842:0;yarn both
: 1552335640:0;git add .
: 1552335648:0;git commit -m "redux added"
: 1552337536:0;yarn add redux-devtools-extension
: 1552337551:0;yarn remove redux-devtools-extension
: 1552337563:0;yarn add redux-devtools-extension -D
: 1552337857:0;yarn both
: 1552342746:0;git add .
: 1552342770:0;git commit -m "redux generaiton autofetch working"
: 1552343681:0;git push
: 1552343706:0;git add .
: 1552343731:0;git commit -m "generation engine working"
: 1552343733:0;git push
: 1552347129:0;yarn confdev
: 1552347151:0;yarn both
: 1552348253:0;yarn start
: 1552348275:0;yarn both
: 1552348954:0;git add .
: 1552348967:0;git commit -m "types changes"
: 1552349130:0;yarn both
: 1552350470:0;git add .
: 1552350489:0;git commit -m "dragon redux done"
: 1552350494:0;git push
: 1552352838:0;yarn add body-parser
: 1552353201:0;yarn confdev
: 1552353363:0;cd ..
: 1552353368:0;psql -U node_user dragondb
: 1552353490:0;yarn confdev
: 1552353518:0;psql -U node_user dragondb
: 1552354041:0;yarn add bcrypt
: 1552356373:0;yarn both
: 1552356594:0;kill -9 <3001>
: 1552356600:0;kill -9 3001
: 1552356625:0;kill $(lsof -t -i:3001)
: 1552356629:0;yarn both
: 1552356918:0;yarn confdev
: 1552357141:0;psql -U node_user dragondb
: 1552357168:0;yarn confdev
: 1552357199:0;psql -U node_user dragondb
: 1552359012:0;yarn confdev
: 1552359049:0;psql -U node_user dragondb
: 1552362504:0;git add .
: 1552362517:0;git commit -m "hashing done"
: 1552362519:0;git push
: 1552363139:0;yarn confdev
: 1552363522:0;yarn dev
: 1552363718:0;psql -U node_user dragondb
: 1552363893:0;git add .
: 1552363917:0;git commit -m "account duplication while signup stopped"
: 1552363960:0;git push
: 1552437367:0;yarn add uuid
: 1552438068:0;node app/account/session.js
: 1552438113:0;git add .
: 1552438122:0;git commit -m "session class added"
: 1552438125:0;git push
: 1552438443:0;node app/account/session.js
: 1552443243:0;git add .
: 1552443245:0;git commit -m "session class added"
: 1552443247:0;git push
: 1552504208:0;node app/account/session.js
: 1552505708:0;yarn confdev
: 1552508014:0;git add .
: 1552508029:0;git commit -m "session cookie working"
: 1552508195:0;node app/account/session.js
: 1552509806:0;yarn confdev
: 1552509900:0;psql -U node_user dragondb
: 1552510006:0;yarn confdev
: 1552510049:0;psql -U node_user dragondb
: 1552510949:0;yarn dev
: 1552511417:0;yarn confdev
: 1552512062:0;git add .
: 1552512080:0;git commit -m "login"
: 1552512084:0;git push
: 1552526929:0;yarn dev
: 1552528562:0;yarn confdev
: 1552528651:0;psql -U node_user dragondb
: 1552528837:0;yarn confdev
: 1552528911:0;psql -U node_user dragondb
: 1552529150:0;yarn confdev
: 1552529178:0;psql -U node_user dragondb
: 1552529278:0;yarn confdev
: 1552529307:0;psql -U node_user dragondb
: 1552529823:0;yarn confdev
: 1552530648:0;psql -U node_user dragondb
: 1552531143:0;yarn confdev
: 1552533551:0;psql -U node_user dragondb
: 1552538117:0;yarn confdev
: 1552539131:0;git add .
: 1552539141:0;git commit -m "login working"
: 1552539144:0;git push
: 1552599019:0;yarn dev
: 1552600279:0;yarn confdev
: 1552602423:0;yarn add cookie-parser
: 1552603109:0;yarn dev
: 1552604102:0;psql -U node_user dragondb
: 1552604240:0;git add .
: 1552604254:0;git commit -m "logout working"
: 1552604257:0;git push
: 1553302570:0;yarn both
: 1553304654:0;git add .
: 1553304675:0;git commit -m "client account started"
: 1553306234:0;yarn both
: 1553306667:0;psql -U node_user dragondb
: 1553308003:0;git add 
: 1553308005:0;git add .
: 1553308015:0;git commit -m "signup form works"
: 1553308030:0;yarn dev
: 1553308233:0;yarn both
: 1553309883:0;git add .
: 1553309904:0;git commit -m "signup form works. directs to home"
: 1553309906:0;git push
: 1553375976:0;yarn both
: 1553380396:0;git add .
: 1553380415:0;git commit -m "login and logout working"
: 1553380421:0;yarn both
: 1553382387:0;git add .
: 1553382400:0;git commit -m "session restores perfectly"
: 1553382405:0;git push
: 1553382792:0;yarn confdev
: 1553382830:0;psql -U node_user dragondb
: 1553383280:0;yarn confdev
: 1553383348:0;yarn both
: 1553383479:0;node app/accountDragon/table.js
: 1553383486:0;psql -U node_user dragondb
: 1553383546:0;git add .
: 1553383575:0;git commit -m "accountDragon join table created"
: 1553384583:0;yarn both
: 1553385200:0;git add .
: 1553385218:0;git commit -m "authenticated user check refactored"
: 1553385746:0;yarn both
: 1553385866:0;yarn confdev
: 1553385883:0;yarn both
: 1553385923:0;psql -U node_user dragondb
: 1553385969:0;git add .
: 1553386004:0;git commit -m "account dragons are being associated from client"
: 1553386014:0;git push
: 1553386355:0;node app/accountDragon/table.js
: 1553386778:0;yarn both
: 1553387358:0;git add .
: 1553387406:0;git commit -m "accountDragons fetch is returning all dragons with traits."
: 1553388494:0;yarn both
: 1553389177:0;git add .
: 1553389198:0;git commit -m "accountDragons redux actions and reducers done"
: 1553389521:0;yarn both
: 1553390071:0;git add .
: 1553390083:0;git commit -m "accountDragons are displaying"
: 1553390086:0;git push
: 1553450338:0;cd client
: 1553450366:0;yarn add history react-router
: 1553450378:0;cd ..
: 1553450505:0;cd client
: 1553450523:0;yarn add react-router-dom
: 1553450750:0;cd ..
: 1553450753:0;yarn both
: 1553451772:0;git add .
: 1553451810:0;git commit -m "react routers working"
: 1553452094:0;yarn both
: 1553453263:0;git add .
: 1553453283:0;git commit -m "accountDragons auth HOC done"
: 1553453436:0;yarn both
: 1553454260:0;git add .
: 1553454295:0;git commit -m "dragon nickname update route done"
: 1553454982:0;yarn both
: 1553455907:0;git add .
: 1553455929:0;git commit -m "dragon names update working "
: 1553456084:0;git add .
: 1553456102:0;git commit -m "MVP DONE\
'
: 1553456114:0;git commit -m "MVP DONE"'
: 1553456116:0;git commit -m "MVP DONE"
: 1553456120:0;git push
: 1553629437:0;yarn confdev
: 1553629929:0;psql -U node_user dragondb
: 1553630013:0;yarn confdev
: 1553631024:0;yarn both
: 1553632507:0;yarn confdev
: 1553632570:0;yarn both
: 1553632655:0;git add .
: 1553632676:0;git commit -m "dragon economy started"
: 1553632873:0;node app/dragon/table.js
: 1553633598:0;psql -U node_user dragondb
: 1553633744:0;git add .
: 1553633760:0;git commit -m "dragon table updated"
: 1553634353:0;yarn both
: 1553635313:0;git add .
: 1553635334:0;git commit -m "account dragons UI updated"
: 1553635337:0;git push
: 1553645809:0;node data/dragonNames.js
: 1553647588:0;yarn confdev
: 1553647716:0;node data/dragonNames.js
: 1553647736:0;yarn confdev
: 1553647776:0;node data/dragonNames.js
: 1553647991:0;yarn confdev
: 1553648026:0;yarn both
: 1553648148:0;git add .
: 1553648161:0;git commit -m "dragons updated with random names"
: 1553649212:0;yarn both
: 1553649694:0;git add .
: 1553649732:0;git commit -m "public dragons api done"
: 1553650970:0;yarn both
: 1553651074:0;git add .
: 1553651090:0;git commit -m "public dragons redux done"
: 1553651479:0;yarn both
: 1553652011:0;git add .
: 1553652023:0;git commit -m "public dragon page UI done"
: 1553652026:0;gti push
: 1553652030:0;git push
: 1553652318:0;node app/account/table.js
: 1553652432:0;psql -U node_user dragondb
: 1553652620:0;git add .
: 1553652645:0;git commit -m "can update account balance"
: 1553652648:0;git push
: 1553652841:0;sublime
: 1553653137:0;yarn both
: 1553653263:0;git add .
: 1553653268:0;git commit -m 
: 1553653280:0;git commit -m "fetch proxy added"
: 1553653284:0;git push
: 1553738139:0;heroku login
: 1553738163:0;heroku git:remote -a herebedragons
: 1553738181:0;heroku update
: 1553738226:0;heroku addons:create heroku-postgresql:hobby-dev
: 1553738339:0;cat bin/configure_db.sh | heroku pg:sql
: 1553738371:0;cat bin/configure_db.sh | heroku pg:psql
: 1553738553:0;heroku cli
: 1553738563:0;cat bin/configure_db.sh | heroku pg:psql
: 1553738701:0;yarn confdev | heroku pg:psql
: 1553738794:0;yarn configure | heroku pg:psql
: 1553738831:0;npm configure | heroku pg:psql
: 1553738856:0;yarn configure | heroku pg:psql
: 1553738970:0;cat bin/sql/account.sql | heroku pg:psql
: 1553738983:0;cat bin/sql/accountDragon.sql| heroku pg:psql
: 1553738991:0;cat bin/sql/accountDragon.sql | heroku pg:psql
: 1553739007:0;cat bin/sql/dragon.sql | heroku pg:psql
: 1553739018:0;cat bin/sql/generation.sql | heroku pg:psql
: 1553739028:0;cat bin/sql/dragon.sql | heroku pg:psql
: 1553739040:0;cat bin/sql/trait.sql | heroku pg:psql
: 1553739065:0;cat bin/sql/dragonTrait.sql | heroku pg:psql
: 1553739081:0;cat bin/sql/accountDragon.sql | heroku pg:psql
: 1553739210:0;heroku config
: 1553739334:0;node ./bin/insertTraits.js | heroku pg:psql
: 1553739434:0;heroku pg:info
: 1553740079:0;git add .
: 1553740092:0;git commit -m "heroku added"
: 1553740095:0;git push
: 1553810443:0;heroku login
: 1553810454:0;watch heroku pg:info
: 1553810474:0;heroku pg:psql
: 1553810560:0;heroku config
: 1553810720:0;yarn dev
: 1553810794:0;heroku pg:credentials DATABASE
: 1553810812:0;heroku pg:credentials:url DATABASE
: 1553811183:0;git push heroku master
: 1553811227:0;git add .
: 1553811237:0;git commit -m "trying heroku"
: 1553811240:0;git push heroku master
: 1553811413:0;git add .
: 1553811415:0;git commit -m "trying heroku"
: 1553811419:0;git push heroku master
: 1553811758:0;git add .
: 1553811762:0;git commit -m "trying heroku"
: 1553811771:0;git push heroku master
: 1553811919:0;cd client
: 1553811960:0;yarn add redux-devtools-extension
: 1553812117:0;yarn add babel-eslint@9.0.0 eslint@5.12.0 eslint-config-airbnb eslint-plugin-import eslint-plugin-jsx-a11y eslint-plugin-react 
: 1553812150:0;git add .
: 1553812153:0;git commit -m "trying heroku"
: 1553812172:0;git push heroku master
: 1553812310:0;heroku open
: 1553812349:0;heroku logs --tail
: 1553812434:0;git add .
: 1553812437:0;git commit -m "trying heroku"
: 1553812442:0;git push heroku master
: 1553812570:0;heroku open
: 1553812634:0;heroku logs --tail
: 1553812835:0;yarn both
: 1553812961:0;heroku pg:psql
: 1553813308:0;yarn dev
: 1553813719:0;git add .
: 1553813723:0;git commit -m "trying heroku"
: 1553813737:0;git push heroku master
: 1553814055:0;heroku open
: 1553814105:0;heroku logs --tail
: 1553814380:0;heroku pg:credentials DATABASE
: 1553814392:0;heroku pg:credentials:url DATABASE
: 1553814459:0;process.env
: 1553814464:0;heroku config
: 1553814517:0;git add .
: 1553814522:0;git commit -m "trying heroku"
: 1553814527:0;git push heroku master
: 1553814670:0;heroku open
: 1553814788:0;heroku pg:psql
: 1553814968:0;heroku logs --tail
: 1553815305:0;git add .
: 1553815309:0;git commit -m "trying heroku"
: 1553815312:0;git push heroku master
: 1553815441:0;heroku open
: 1553815940:0;heroku logs --tail
: 1553816098:0;node app/trait/table.js
: 1553816142:0;yarn confdev
: 1553816159:0;yarn dev
: 1553816202:0;yarn confdev
: 1553816621:0;node ./bin/insertTraits.js | 
: 1553816639:0;cat bin/sql/generation.sql | heroku pg:psql
: 1553816663:0;git add .
: 1553816667:0;git commit -m "trying heroku"
: 1553816671:0;git push heroku master
: 1553816791:0;heroku open
: 1553816805:0;heroku logs --tail
